cmd,conds,short,long,params,dirs,pri,desc
env, ,a,argv0, , ,101,pass ARG as the zeroth argument of COMMAND
env, ,i,ignore-environment, , ,102,start with an empty environment
env, ,0,null, , ,103,"end each output line with NUL, not newline"
env, ,u,unset, , ,104,remove variable from the environment
env, ,C,chdir, , ,105,change working directory to DIR
env, ,S,split-string, , ,106,"process and split S into separate arguments; used to pass multiple arguments …"
env, , ,block-signal, , ,107,block delivery of SIG signal(s) to COMMAND
env, , ,default-signal, , ,108,reset handling of SIG signal(s) to the default
env, , ,ignore-signal, , ,109,set handling of SIG signal(s) to do nothing
env, , ,list-signal-handling, , ,110,list non default signal handling to stderr
env, ,v,debug, , ,111,print verbose information for each processing step
env, , ,help, , ,112,display this help and exit
env, , ,version, , ,113,output version information and exit . PP A mere - implies -i
