cmd,conds,short,long,params,dirs,pri,desc
opkg,,V,verbosity, , ,127,Set verbosity level to <level>
opkg,,f,conf, , ,128,Use <conf_file> as the opkg configuration file
opkg,, ,cache, , ,129,Use a package cache
opkg,,d,dest, , ,130,Use <dest_name> as the root directory
opkg,,o,offline-root, , ,131,Use <dir> as the root directory for offline
opkg,, ,add-arch, , ,132,Register architecture with given priority
opkg,, ,add-dest, , ,133,Register destination with given path
opkg,, ,force-depends, , ,134,Install/remove despite failed dependencies
opkg,, ,force-maintainer, , ,135,Overwrite preexisting config files
opkg,, ,force-reinstall, , ,136,Reinstall package(s)
opkg,, ,force-overwrite, , ,137,Overwrite files from other package(s)
opkg,, ,force-downgrade, , ,138,Allow opkg to downgrade packages
opkg,, ,force-space, , ,139,Disable free space checks
opkg,, ,force-postinstall, , ,140,Run postinstall scripts even in offline mode
opkg,, ,force-remove, , ,141,Remove package even if prerm script fails
opkg,, ,force-checksum, , ,142,Don't fail on checksum mismatches
opkg,, ,noaction, , ,143,No action -- test only
opkg,, ,download-only, , ,144,No action -- download only
opkg,, ,nodeps, , ,145,Do not follow dependencies
opkg,, ,nocase, , ,146,Perform case insensitive pattern matching
opkg,, ,size, , ,147,Print package size when listing available packages
opkg,, ,force-removal-of-dependent-packages, , ,148,Remove package and all dependencies
opkg,, ,autoremove, , ,149,Remove automatically installed packages
opkg,,t,tmp-dir, , ,150,Specify tmp-dir.
opkg,,l,lists-dir, , ,151,Specify lists-dir.
opkg,, , , ,@E @F,152,opkg list-installed &? | cut -d' ' -f1
opkg,, , ,update,@f,153,Update list of available packages
opkg,, , ,upgrade,@f,154,Upgrade packages
opkg,, , ,list,@f,155,List available packages
opkg,, , ,list-installed,@f,156,List installed packages
opkg,, , ,list-upgradable,@f,157,List installed and upgradable packages
opkg,, , ,list-changed-conffiles,@f,158,List user modified configuration files
opkg,, , ,files,@f,159,List files belonging to <pkg>
opkg,, , ,search,@f,160,List package providing <file>
opkg,, , ,find,@f,161,List packages whose name or description matches <regexp>
opkg,, , ,info,@f,162,Display all info for <pkg>
opkg,, , ,status,@f,163,Display all status for <pkg>
opkg,, , ,download,@f,164,Download <pkg> to current directory
opkg,, , ,compare-versions,@f,165,compare versions using <= < > >= = << >>
opkg,, , ,print-architecture,@f,166,List installable package architectures
opkg,, , ,depends,@f,167,list depends
opkg,, , ,whatdepends,@f,168,list whatdepends
opkg,, , ,whatdependsrec,@f,169,list whatdepends recursively
opkg,, , ,whatrecommends,@f,170,list whatrecommends
opkg,, , ,whatsuggests,@f,171,list whatsuggests
opkg,, , ,whatprovides,@f,172,list whatprovides
opkg,, , ,whatconflicts,@f,173,list whatconflicts
opkg,, , ,whatreplaces,@f,174,list whatreplaces
opkg,,A, , , ,175,Query all packages not just those installed
opkg,, , ,install,@f,176,Install package(s)
opkg,, , ,configure,@f,177,Configure unpacked package(s)
opkg,, , ,remove,@f,178,Remove package(s)
opkg,, , ,flag,@f,179,Flag package(s)
