cmd,conds,short,long,params,dirs,pri,desc
fail2ban-client, ,c,conf, , ,101,Configuration dir
fail2ban-client, ,s,socket, , ,102,Socket path
fail2ban-client, ,p,pidfile, , ,103,Pidfile path
fail2ban-client, , ,pname, , ,104,Name of the process
fail2ban-client, , ,loglevel,CRITICAL ERROR WARNING NOTICE INFO DEBUG TRACEDEBUG HEAVYDEBUG, ,105,loglevel of client
fail2ban-client, , ,logtarget,stdout stderr syslog sysout, ,106,Logging target
fail2ban-client, , ,logtarget,auto, ,107,Syslogsocket
fail2ban-client, , ,dump-pretty, , ,108,Dump configuration (pretty)
fail2ban-client, ,t,test, , ,109,Test configuration
fail2ban-client, , ,str2sec, , ,110,Convert time abbr format to secs
fail2ban-client, ,h,help, , ,111,Display help message
fail2ban-client, ,V,version, , ,112,Display client version
fail2ban-client, restart, ,unban, , ,127, 
fail2ban-client, reload, ,if-exists, , ,128, 
fail2ban-client, restart, ,restart, , ,129, 
fail2ban-client, reload, ,unban, , ,130, 
fail2ban-client, reload, ,all, , ,131, 
fail2ban-client, reload, ,if-exists, , ,132, 
fail2ban-client, unban, ,all, , ,133, 

fail2ban-client, , ,loglevel, , ,134,loglevel of client
fail2ban-client, ,d, , , ,135,Dump configuration
fail2ban-client, ,i, , , ,136,Run in interactive mode
fail2ban-client, ,v, , , ,137,Increase verbosity
fail2ban-client, ,q, , , ,138,Decrease verbosity
fail2ban-client, ,x, , , ,139,Force execution of server
fail2ban-client, ,f, , , ,140,Start server in foreground
fail2ban-client, , , , , ,141,Start fail2ban server or jail
fail2ban-client,start, , , , ,142,
fail2ban-client,stop, , , , ,143,
fail2ban-client,status, , , , ,144,
fail2ban-client,restart, , , , ,145,
fail2ban-client,reload, , , , ,146,
fail2ban-client,add, , , , ,147,
fail2ban-client,get, , , , ,148,Get server log level
fail2ban-client,set, , , , ,149,Change server log level
fail2ban-client,loglevel, , , , ,150,
fail2ban-client,logtarget, , ,STDOUT STDERR SYSLOG SYSTEMD-JOURNAL, ,151,
fail2ban-client,syslogsocket, , ,auto, ,152,
fail2ban-client,dbfile, , ,None, ,153,
fail2ban-client,dbmaxmatches, , , , ,154,
fail2ban-client,dbpurgeage, , , , ,155,
fail2ban-client,set get, , , , ,156,
fail2ban-client,idle, , , , ,157,
fail2ban-client,ignoreself, , , , ,158,
fail2ban-client, ,b, , , ,159,Start server in background (default)
